Training Parameters:
Model Name: MultimodalSegmentationModel
Run Number: 1
Batch Size: 3
Learning Rate: 1e-05
Total Epochs: 100
Patience: 5

Epoch Details:
Epoch, Loss, Validation Loss, Time (s), GPU Memory (MB)
1, 0.5241, 0.5090, 18.10, 1177.40
2, 0.3449, 0.4530, 16.30, 1177.69
3, 0.2766, 0.3688, 16.06, 1177.40
4, 0.2308, 0.3097, 16.29, 1177.69
5, 0.2025, 0.2473, 16.20, 1177.40
6, 0.1840, 0.3044, 16.28, 1177.69
7, 0.1592, 0.2314, 16.30, 1177.40
8, 0.1461, 0.2134, 15.96, 1177.69
9, 0.1530, 0.2100, 15.92, 1177.40
10, 0.1405, 0.2097, 15.90, 1177.69
11, 0.1273, 0.1876, 15.88, 1177.40
12, 0.1271, 0.1656, 15.89, 1177.69
13, 0.1259, 0.1810, 15.89, 1177.40
14, 0.1003, 0.1536, 15.88, 1177.69
15, 0.1025, 0.2059, 15.93, 1177.40
16, 0.1015, 0.1534, 15.85, 1177.69
17, 0.0960, 0.1376, 15.88, 1177.40
18, 0.0961, 0.1802, 15.93, 1177.69
19, 0.0912, 0.1442, 15.86, 1177.40
20, 0.0838, 0.1421, 15.92, 1177.69
21, 0.0803, 0.1397, 15.79, 1177.40
22, 0.0779, 0.1280, 15.80, 1177.69
23, 0.0748, 0.1282, 15.81, 1177.40
24, 0.0771, 0.1223, 15.87, 1177.69
25, 0.0697, 0.1092, 15.95, 1177.40
26, 0.0679, 0.1250, 15.84, 1177.69
27, 0.0659, 0.1179, 15.90, 1177.40
28, 0.0625, 0.1054, 15.84, 1177.69
29, 0.0688, 0.1097, 15.91, 1177.40
30, 0.0665, 0.1313, 15.92, 1177.69
31, 0.0618, 0.1019, 15.92, 1177.40
32, 0.0591, 0.0977, 15.88, 1177.69
33, 0.0526, 0.0978, 15.93, 1177.40
34, 0.0524, 0.0990, 15.91, 1177.69
35, 0.0531, 0.0990, 15.80, 1177.40
36, 0.0489, 0.0950, 15.89, 1177.69
37, 0.0498, 0.1047, 15.83, 1177.40
38, 0.0491, 0.1003, 15.86, 1177.69
39, 0.0462, 0.0934, 15.88, 1177.40
40, 0.0451, 0.0932, 15.95, 1177.69
41, 0.0448, 0.0945, 15.93, 1177.40
42, 0.0456, 0.0953, 15.82, 1177.69
43, 0.0432, 0.1001, 15.88, 1177.40
44, 0.0422, 0.0962, 15.94, 1177.69
45, 0.0411, 0.0938, 15.78, 1177.40

Total Training Time: 969.95s
