Training Parameters:
Model Name: MultimodalSegmentationModel
Run Number: 6
Batch Size: 3
Learning Rate: 1e-05
Total Epochs: 100
Patience: 5

Epoch Details:
Epoch, Loss, Validation Loss, Time (s), GPU Memory (MB)
1, 0.3856, 0.4372, 7.57, 1181.49
2, 0.3233, 0.3398, 7.56, 1180.74
3, 0.2589, 0.2853, 7.56, 1180.14
4, 0.1891, 0.2473, 7.58, 1180.10
5, 0.1575, 0.2015, 7.57, 1181.49
6, 0.1349, 0.1800, 7.63, 1180.74
7, 0.1225, 0.1772, 7.63, 1180.14
8, 0.1150, 0.1715, 7.56, 1180.10
9, 0.1135, 0.1647, 7.63, 1181.49
10, 0.1040, 0.1663, 7.56, 1180.74
11, 0.1015, 0.1590, 7.56, 1180.14
12, 0.0939, 0.1567, 7.56, 1180.10
13, 0.0932, 0.1498, 7.56, 1181.49
14, 0.0906, 0.1564, 7.56, 1180.74
15, 0.0901, 0.1487, 7.56, 1180.14
16, 0.0820, 0.1449, 7.59, 1180.10
17, 0.0855, 0.1455, 8.02, 1181.49
18, 0.0823, 0.1446, 7.79, 1180.74
19, 0.0789, 0.1416, 7.82, 1180.14
20, 0.0727, 0.1437, 7.83, 1180.10
21, 0.0725, 0.1393, 7.79, 1181.49
22, 0.0714, 0.1397, 7.80, 1180.74
23, 0.0688, 0.1397, 7.79, 1180.14
24, 0.0681, 0.1356, 7.80, 1180.10
25, 0.0671, 0.1364, 7.85, 1181.49
26, 0.0629, 0.1331, 7.82, 1180.74
27, 0.0622, 0.1294, 7.79, 1180.14
28, 0.0597, 0.1319, 7.80, 1180.10
29, 0.0588, 0.1295, 7.79, 1181.49
30, 0.0581, 0.1294, 7.79, 1180.74
31, 0.0561, 0.1334, 7.79, 1180.14
32, 0.0558, 0.1373, 7.79, 1180.10

Total Training Time: 502.28s
