Training Parameters:
Model Name: MultimodalSegmentationModel
Number of Training Images: 300
Batch Size: 3
Learning Rate: 1e-05
Total Epochs: 100
Patience: 5

Epoch Details:
Epoch, Loss, Validation Loss, Time (s), GPU Memory (MB)
1, 0.4032, 0.2436, 30.95, 1064.48
2, 0.1898, 0.1620, 30.74, 1064.48
3, 0.1576, 0.1322, 30.78, 1064.48
4, 0.1390, 0.1309, 31.18, 1064.48
5, 0.1256, 0.1116, 31.24, 1064.48
6, 0.1177, 0.1112, 31.13, 1064.48
7, 0.1119, 0.0964, 30.63, 1064.48
8, 0.1034, 0.0843, 30.88, 1064.48
9, 0.0915, 0.0855, 30.62, 1064.48
10, 0.0868, 0.0804, 30.62, 1064.48
11, 0.0802, 0.0773, 30.66, 1064.48
12, 0.0750, 0.0742, 30.83, 1064.48
13, 0.0732, 0.0757, 30.65, 1064.48
14, 0.0676, 0.0712, 30.62, 1064.48
15, 0.0655, 0.0697, 30.63, 1064.48
16, 0.0614, 0.0740, 30.72, 1064.48
17, 0.0577, 0.0632, 30.69, 1064.48
18, 0.0566, 0.0606, 30.66, 1064.48
19, 0.0549, 0.0656, 30.68, 1064.48
20, 0.0518, 0.0612, 30.81, 1064.48
21, 0.0508, 0.0667, 30.79, 1064.48
22, 0.0494, 0.0598, 30.68, 1064.48
23, 0.0475, 0.0598, 30.65, 1064.48
24, 0.0441, 0.0585, 30.65, 1064.48
25, 0.0433, 0.0559, 30.64, 1064.48
26, 0.0427, 0.0545, 30.90, 1064.48
27, 0.0413, 0.0560, 30.63, 1064.48
28, 0.0416, 0.0551, 30.63, 1064.48
29, 0.0393, 0.0532, 30.63, 1064.48
30, 0.0380, 0.0549, 30.97, 1064.48
31, 0.0376, 0.0536, 30.63, 1064.48
32, 0.0360, 0.0523, 30.64, 1064.48
33, 0.0360, 0.0584, 30.79, 1064.48
34, 0.0352, 0.0522, 30.64, 1064.48
35, 0.0342, 0.0540, 30.66, 1064.48
36, 0.0331, 0.0542, 30.65, 1064.48
37, 0.0329, 0.0525, 30.63, 1064.48
38, 0.0332, 0.0583, 30.64, 1064.48
39, 0.0324, 0.0530, 30.76, 1064.48

Total Training Time: 1293.19s
