Training Parameters:
Model Name: MultimodalSegmentationModel
Run Number: 10
Batch Size: 3
Learning Rate: 1e-05
Total Epochs: 100
Patience: 5

Epoch Details:
Epoch, Loss, Validation Loss, Time (s), GPU Memory (MB)
1, 0.7364, 0.7044, 7.59, 1176.15
2, 0.5701, 0.5649, 7.59, 1176.15
3, 0.3453, 0.3562, 7.67, 1176.15
4, 0.2574, 0.2692, 7.60, 1176.15
5, 0.2321, 0.2466, 7.60, 1176.15
6, 0.2154, 0.2495, 7.60, 1176.15
7, 0.1921, 0.2251, 7.59, 1176.15
8, 0.1819, 0.2185, 7.60, 1176.15
9, 0.1855, 0.2131, 7.59, 1176.15
10, 0.1695, 0.2105, 7.60, 1176.15
11, 0.1644, 0.2106, 7.67, 1176.15
12, 0.1579, 0.1977, 7.59, 1176.15
13, 0.1514, 0.2004, 7.59, 1176.15
14, 0.1478, 0.1917, 7.60, 1176.15
15, 0.1401, 0.1881, 7.60, 1176.15
16, 0.1340, 0.1827, 7.62, 1176.15
17, 0.1317, 0.1819, 7.60, 1176.15
18, 0.1289, 0.1800, 7.60, 1176.15
19, 0.1266, 0.1775, 7.59, 1176.15
20, 0.1237, 0.1746, 7.60, 1176.15
21, 0.1193, 0.1694, 7.60, 1176.15
22, 0.1172, 0.1725, 7.59, 1176.15
23, 0.1145, 0.1809, 7.59, 1176.15
24, 0.1114, 0.1675, 7.59, 1176.15
25, 0.1086, 0.1626, 7.68, 1176.15
26, 0.1075, 0.1604, 7.60, 1176.15
27, 0.1021, 0.1574, 7.60, 1176.15
28, 0.1009, 0.1553, 7.60, 1176.15
29, 0.0970, 0.1596, 7.59, 1176.15
30, 0.0967, 0.1534, 7.63, 1176.15
31, 0.0928, 0.1539, 7.62, 1176.15
32, 0.0907, 0.1494, 7.59, 1176.15
33, 0.0884, 0.1511, 7.59, 1176.15
34, 0.0875, 0.1478, 7.59, 1176.15
35, 0.0843, 0.1458, 7.59, 1176.15
36, 0.0835, 0.1486, 7.60, 1176.15
37, 0.0812, 0.1442, 7.59, 1176.15
38, 0.0792, 0.1479, 7.60, 1176.15
39, 0.0774, 0.1507, 7.60, 1176.15
40, 0.0751, 0.1515, 7.59, 1176.15
41, 0.0741, 0.1454, 7.59, 1176.15
42, 0.0718, 0.1521, 7.59, 1176.15

Total Training Time: 655.82s
