Training Parameters:
Model Name: MultimodalSegmentationModel
Run Number: 2
Batch Size: 3
Learning Rate: 1e-05
Total Epochs: 100
Patience: 5

Epoch Details:
Epoch, Loss, Validation Loss, Time (s), GPU Memory (MB)
1, 0.4520, 0.2484, 31.29, 1178.37
2, 0.2568, 0.1881, 31.29, 1178.37
3, 0.1954, 0.1631, 31.40, 1178.37
4, 0.1615, 0.1422, 32.36, 1178.37
5, 0.1504, 0.1217, 31.98, 1178.37
6, 0.1369, 0.1271, 31.35, 1178.37
7, 0.1253, 0.1135, 31.32, 1178.37
8, 0.1141, 0.1010, 31.44, 1178.37
9, 0.1064, 0.0924, 31.42, 1178.37
10, 0.0996, 0.0945, 31.52, 1178.37
11, 0.0961, 0.0891, 31.50, 1178.37
12, 0.0862, 0.0803, 31.51, 1178.37
13, 0.0833, 0.0837, 31.33, 1178.37
14, 0.0781, 0.0719, 31.53, 1178.37
15, 0.0771, 0.0750, 31.47, 1178.37
16, 0.0711, 0.0700, 31.32, 1178.37
17, 0.0682, 0.0662, 31.60, 1178.37
18, 0.0638, 0.0746, 31.43, 1178.37
19, 0.0632, 0.0704, 31.22, 1178.37
20, 0.0604, 0.0645, 31.29, 1178.37
21, 0.0602, 0.0643, 31.37, 1178.37
22, 0.0567, 0.0704, 31.32, 1178.37
23, 0.0544, 0.0624, 31.33, 1178.37
24, 0.0527, 0.0594, 31.46, 1178.37
25, 0.0499, 0.0610, 31.28, 1178.37
26, 0.0483, 0.0595, 31.35, 1178.37
27, 0.0475, 0.0572, 31.36, 1178.37
28, 0.0496, 0.0568, 31.39, 1178.37
29, 0.0457, 0.0556, 31.24, 1178.37
30, 0.0442, 0.0613, 31.40, 1178.37
31, 0.0425, 0.0562, 31.51, 1178.37
32, 0.0414, 0.0597, 31.34, 1178.37
33, 0.0426, 0.0583, 31.29, 1178.37
34, 0.0395, 0.0599, 31.30, 1178.37

Total Training Time: 1155.06s
