Training Parameters:
Model Name: MultimodalSegmentationModel
Run Number: 4
Batch Size: 3
Learning Rate: 1e-05
Total Epochs: 100
Patience: 5

Epoch Details:
Epoch, Loss, Validation Loss, Time (s), GPU Memory (MB)
1, 0.8380, 0.7967, 7.65, 1173.97
2, 0.5779, 0.5715, 7.66, 1173.60
3, 0.3637, 0.3545, 7.65, 1173.97
4, 0.2831, 0.2878, 7.63, 1173.60
5, 0.2397, 0.2724, 7.61, 1173.97
6, 0.2229, 0.2650, 7.65, 1173.60
7, 0.2106, 0.2442, 7.65, 1173.97
8, 0.2046, 0.2468, 7.65, 1173.60
9, 0.1918, 0.2397, 7.57, 1173.97
10, 0.1784, 0.2194, 7.65, 1173.60
11, 0.1708, 0.2146, 7.60, 1173.97
12, 0.1584, 0.2113, 8.16, 1173.60
13, 0.1488, 0.2056, 7.79, 1173.97
14, 0.1442, 0.1995, 7.78, 1173.60
15, 0.1391, 0.1979, 7.85, 1173.97
16, 0.1336, 0.1895, 7.80, 1173.60
17, 0.1262, 0.1879, 7.85, 1173.97
18, 0.1235, 0.1845, 7.79, 1173.60
19, 0.1187, 0.1781, 7.79, 1173.97
20, 0.1142, 0.1741, 7.86, 1173.60
21, 0.1124, 0.1718, 7.79, 1173.97
22, 0.1104, 0.1722, 7.82, 1173.60
23, 0.1066, 0.1692, 7.80, 1173.97
24, 0.1020, 0.1654, 7.79, 1173.60
25, 0.0979, 0.1717, 7.79, 1173.97
26, 0.0957, 0.1632, 7.79, 1173.60
27, 0.0953, 0.1635, 7.79, 1173.97
28, 0.0921, 0.1618, 7.79, 1173.60
29, 0.0972, 0.1577, 7.80, 1173.97
30, 0.0902, 0.1511, 7.79, 1173.60
31, 0.0871, 0.1545, 7.82, 1173.97
32, 0.0855, 0.1526, 7.79, 1173.60
33, 0.0834, 0.1511, 7.79, 1173.97
34, 0.0832, 0.1515, 7.84, 1173.60
35, 0.0794, 0.1574, 7.79, 1173.97
36, 0.0792, 0.1462, 7.79, 1173.60
37, 0.0769, 0.1632, 7.79, 1173.97
38, 0.0738, 0.1535, 7.79, 1173.60
39, 0.0721, 0.1646, 7.79, 1173.97
40, 0.0714, 0.1515, 7.79, 1173.60
41, 0.0702, 0.1426, 7.79, 1173.97
42, 0.0691, 0.1429, 7.79, 1173.60
43, 0.0669, 0.1402, 7.79, 1173.97
44, 0.0659, 0.1504, 7.79, 1173.60
45, 0.0657, 0.1441, 7.79, 1173.97
46, 0.0631, 0.1442, 7.80, 1173.60
47, 0.0621, 0.1392, 7.79, 1173.97
48, 0.0608, 0.1481, 7.80, 1173.60
49, 0.0609, 0.1461, 7.79, 1173.97
50, 0.0590, 0.1491, 7.79, 1173.60
51, 0.0583, 0.1493, 7.79, 1173.97
52, 0.0580, 0.1479, 7.79, 1173.60

Total Training Time: 821.43s
