Training Parameters:
Model Name: MultimodalSegmentationModel
Number of Training Images: 300
Batch Size: 3
Learning Rate: 1e-05
Total Epochs: 100
Patience: 5

Epoch Details:
Epoch, Loss, Validation Loss, Time (s), GPU Memory (MB)
1, 0.6278, 0.3323, 32.74, 1064.48
2, 0.2807, 0.2322, 31.69, 1064.48
3, 0.2353, 0.1810, 32.78, 1064.48
4, 0.1991, 0.1751, 32.42, 1064.48
5, 0.1849, 0.1477, 32.59, 1064.48
6, 0.1674, 0.1469, 32.98, 1064.48
7, 0.1486, 0.1324, 32.25, 1064.48
8, 0.1369, 0.1185, 32.20, 1064.48
9, 0.1239, 0.1089, 32.32, 1064.48
10, 0.1162, 0.1058, 32.21, 1064.48
11, 0.1087, 0.1015, 32.24, 1064.48
12, 0.1026, 0.0937, 32.21, 1064.48
13, 0.0950, 0.0887, 32.14, 1064.48
14, 0.0895, 0.0899, 32.44, 1064.48
15, 0.0879, 0.0839, 32.19, 1064.48
16, 0.0822, 0.0845, 32.58, 1064.48
17, 0.0774, 0.0802, 32.28, 1064.48
18, 0.0752, 0.0804, 31.89, 1064.48
19, 0.0711, 0.0782, 32.00, 1064.48
20, 0.0682, 0.0762, 32.21, 1064.48
21, 0.0685, 0.0702, 32.17, 1064.48
22, 0.0631, 0.0708, 32.91, 1064.48
23, 0.0618, 0.0688, 32.49, 1064.48
24, 0.0584, 0.0657, 31.84, 1064.48
25, 0.0565, 0.0657, 30.81, 1064.48
26, 0.0547, 0.0623, 30.78, 1064.48
27, 0.0530, 0.0639, 31.01, 1064.48
28, 0.0524, 0.0624, 30.76, 1064.48
29, 0.0509, 0.0598, 30.78, 1064.48
30, 0.0484, 0.0622, 30.50, 1064.48
31, 0.0472, 0.0630, 30.77, 1064.48
32, 0.0455, 0.0605, 30.76, 1064.48
33, 0.0445, 0.0604, 30.77, 1064.48
34, 0.0433, 0.0611, 30.78, 1064.48

Total Training Time: 1170.99s
