Training Parameters:
Model Name: MultimodalSegmentationModel
Number of Training Images: 300
Batch Size: 3
Learning Rate: 1e-05
Total Epochs: 100
Patience: 5

Epoch Details:
Epoch, Loss, Validation Loss, Time (s), GPU Memory (MB)
1, 0.4040, 0.2192, 31.90, 1062.90
2, 0.1905, 0.1666, 31.79, 1062.90
3, 0.1650, 0.1306, 32.00, 1062.90
4, 0.1452, 0.1256, 31.96, 1062.90
5, 0.1272, 0.1130, 32.19, 1062.90
6, 0.1155, 0.0967, 31.23, 1062.90
7, 0.1080, 0.0980, 31.73, 1062.90
8, 0.0991, 0.0887, 31.91, 1062.90
9, 0.0918, 0.0841, 32.11, 1062.90
10, 0.0893, 0.0821, 32.07, 1062.90
11, 0.0796, 0.0777, 32.23, 1062.90
12, 0.0776, 0.0723, 31.56, 1062.90
13, 0.0711, 0.0689, 31.48, 1062.90
14, 0.0696, 0.0647, 31.41, 1062.90
15, 0.0660, 0.0644, 31.07, 1062.90
16, 0.0627, 0.0639, 31.37, 1062.90
17, 0.0602, 0.0620, 31.05, 1062.90
18, 0.0600, 0.0606, 30.95, 1062.90
19, 0.0580, 0.0593, 30.94, 1062.90
20, 0.0539, 0.0602, 30.89, 1062.90
21, 0.0520, 0.0597, 30.95, 1062.90
22, 0.0504, 0.0561, 30.89, 1062.90
23, 0.0480, 0.0538, 30.94, 1062.90
24, 0.0465, 0.0547, 31.17, 1062.90
25, 0.0465, 0.0552, 31.00, 1062.90
26, 0.0440, 0.0541, 31.12, 1062.90
27, 0.0441, 0.0568, 30.90, 1062.90
28, 0.0449, 0.0530, 31.07, 1062.90
29, 0.0420, 0.0560, 30.92, 1062.90
30, 0.0410, 0.0526, 30.90, 1062.90
31, 0.0430, 0.0526, 30.88, 1062.90
32, 0.0394, 0.0533, 31.03, 1062.90
33, 0.0381, 0.0503, 30.90, 1062.90
34, 0.0377, 0.0541, 30.93, 1062.90
35, 0.0359, 0.0510, 31.10, 1062.90
36, 0.0360, 0.0526, 30.95, 1062.90
37, 0.0346, 0.0516, 30.86, 1062.90
38, 0.0338, 0.0536, 30.92, 1062.90

Total Training Time: 1284.92s
