Training Parameters:
Model Name: MultimodalSegmentationModel
Number of Training Images: 300
Batch Size: 3
Learning Rate: 1e-05
Total Epochs: 100
Patience: 5

Epoch Details:
Epoch, Loss, Validation Loss, Time (s), GPU Memory (MB)
1, 0.4605, 0.2541, 32.06, 1177.69
2, 0.2209, 0.1767, 31.73, 1177.69
3, 0.1755, 0.1725, 31.58, 1177.69
4, 0.1588, 0.1387, 31.78, 1177.69
5, 0.1451, 0.1363, 31.59, 1177.69
6, 0.1344, 0.1102, 31.59, 1177.69
7, 0.1217, 0.1141, 31.67, 1177.69
8, 0.1084, 0.1038, 31.73, 1177.69
9, 0.1016, 0.0964, 31.56, 1177.69
10, 0.1010, 0.0918, 31.75, 1177.69
11, 0.0898, 0.0846, 31.70, 1177.69
12, 0.0851, 0.0850, 31.52, 1177.69
13, 0.0806, 0.0840, 31.60, 1177.69
14, 0.0770, 0.0771, 31.86, 1177.69
15, 0.0756, 0.0786, 31.74, 1177.69
16, 0.0714, 0.0761, 31.75, 1177.69
17, 0.0653, 0.0715, 31.75, 1177.69
18, 0.0636, 0.0682, 31.79, 1177.69
19, 0.0610, 0.0643, 31.71, 1177.69
20, 0.0582, 0.0629, 31.61, 1177.69
21, 0.0578, 0.0629, 31.87, 1177.69
22, 0.0541, 0.0635, 31.72, 1177.69
23, 0.0521, 0.0619, 31.57, 1177.69
24, 0.0518, 0.0611, 31.87, 1177.69
25, 0.0503, 0.0577, 32.19, 1177.69
26, 0.0493, 0.0663, 31.81, 1177.69
27, 0.0468, 0.0574, 31.65, 1177.69
28, 0.0454, 0.0569, 30.84, 1177.69
29, 0.0452, 0.0596, 30.94, 1177.69
30, 0.0428, 0.0569, 31.09, 1177.69
31, 0.0420, 0.0568, 30.97, 1177.69
32, 0.0410, 0.0552, 30.96, 1177.69
33, 0.0398, 0.0575, 31.17, 1177.69
34, 0.0413, 0.0605, 31.05, 1177.69
35, 0.0394, 0.0560, 31.12, 1177.69
36, 0.0374, 0.0606, 31.07, 1177.69
37, 0.0375, 0.0646, 30.87, 1177.69

Total Training Time: 1265.03s
