Training Parameters:
Model Name: MultimodalSegmentationModel
Number of Training Images: 300
Batch Size: 3
Learning Rate: 1e-05
Total Epochs: 100
Patience: 5

Epoch Details:
Epoch, Loss, Validation Loss, Time (s), GPU Memory (MB)
1, 0.4503, 0.2425, 30.88, 1064.48
2, 0.2154, 0.2057, 30.74, 1064.48
3, 0.1871, 0.1589, 30.78, 1064.48
4, 0.1603, 0.1328, 31.06, 1064.48
5, 0.1429, 0.1291, 30.98, 1064.48
6, 0.1285, 0.1339, 31.11, 1064.48
7, 0.1137, 0.1049, 31.10, 1064.48
8, 0.1046, 0.0973, 30.94, 1064.48
9, 0.1018, 0.0872, 31.06, 1064.48
10, 0.0915, 0.0799, 30.87, 1064.48
11, 0.0871, 0.0792, 30.92, 1064.48
12, 0.0806, 0.0808, 30.77, 1064.48
13, 0.0797, 0.0788, 30.81, 1064.48
14, 0.0735, 0.0740, 31.48, 1064.48
15, 0.0700, 0.0729, 32.32, 1064.48
16, 0.0670, 0.0699, 33.29, 1064.48
17, 0.0651, 0.0694, 33.18, 1064.48
18, 0.0617, 0.0661, 31.85, 1064.48
19, 0.0664, 0.0676, 32.08, 1064.48
20, 0.0567, 0.0629, 32.59, 1064.48
21, 0.0554, 0.0614, 32.58, 1064.48
22, 0.0522, 0.0620, 32.62, 1064.48
23, 0.0500, 0.0602, 32.64, 1064.48
24, 0.0481, 0.0621, 32.70, 1064.48
25, 0.0481, 0.0613, 32.60, 1064.48
26, 0.0460, 0.0577, 32.60, 1064.48
27, 0.0441, 0.0582, 32.42, 1064.48
28, 0.0429, 0.0564, 32.23, 1064.48
29, 0.0433, 0.0585, 30.99, 1064.48
30, 0.0405, 0.0591, 32.26, 1064.48
31, 0.0395, 0.0551, 31.83, 1064.48
32, 0.0383, 0.0566, 31.51, 1064.48
33, 0.0391, 0.0524, 31.49, 1064.48
34, 0.0374, 0.0541, 30.88, 1064.48
35, 0.0369, 0.0547, 30.98, 1064.48
36, 0.0355, 0.0527, 30.92, 1064.48
37, 0.0351, 0.0519, 32.58, 1064.48
38, 0.0348, 0.0541, 33.37, 1064.48
39, 0.0334, 0.0538, 32.07, 1064.48
40, 0.0358, 0.0570, 32.37, 1064.48
41, 0.0334, 0.0548, 32.45, 1064.48
42, 0.0324, 0.0559, 32.41, 1064.48

Total Training Time: 1440.05s
