Training Parameters:
Model Name: MultimodalSegmentationModel
Run Number: 3
Batch Size: 3
Learning Rate: 1e-05
Total Epochs: 100
Patience: 5

Epoch Details:
Epoch, Loss, Validation Loss, Time (s), GPU Memory (MB)
1, 0.5856, 0.4894, 7.61, 1179.91
2, 0.4425, 0.4354, 7.69, 1179.80
3, 0.2632, 0.2778, 7.69, 1179.80
4, 0.2034, 0.2638, 7.63, 1178.63
5, 0.1834, 0.2301, 7.67, 1180.30
6, 0.1663, 0.2214, 7.69, 1180.78
7, 0.1619, 0.2185, 7.70, 1179.81
8, 0.1510, 0.2359, 7.69, 1179.91
9, 0.1447, 0.2154, 7.61, 1179.80
10, 0.1414, 0.2097, 7.70, 1179.80
11, 0.1307, 0.2081, 7.67, 1178.63
12, 0.1268, 0.2030, 7.62, 1180.30
13, 0.1222, 0.1996, 7.70, 1180.78
14, 0.1190, 0.1938, 7.62, 1179.81
15, 0.1169, 0.1942, 7.66, 1179.91
16, 0.1116, 0.1980, 7.61, 1179.80
17, 0.1087, 0.1907, 7.68, 1179.80
18, 0.1043, 0.1963, 7.61, 1178.63
19, 0.1049, 0.1968, 7.62, 1180.30
20, 0.0993, 0.1860, 7.70, 1180.78
21, 0.0964, 0.1863, 7.61, 1179.81
22, 0.0956, 0.1773, 7.61, 1179.91
23, 0.0906, 0.1846, 7.63, 1179.80
24, 0.0866, 0.1786, 7.69, 1179.80
25, 0.0855, 0.1707, 7.70, 1178.63
26, 0.0830, 0.1805, 7.70, 1180.30
27, 0.0800, 0.1763, 7.70, 1180.78
28, 0.0786, 0.1790, 7.61, 1179.81
29, 0.0758, 0.1742, 7.65, 1179.91
30, 0.0739, 0.1764, 7.61, 1179.80

Total Training Time: 471.96s
