Training Parameters:
Model Name: MultimodalSegmentationModel
Run Number: 1
Batch Size: 3
Learning Rate: 1e-05
Total Epochs: 100
Patience: 5

Epoch Details:
Epoch, Loss, Validation Loss, Time (s), GPU Memory (MB)
1, 0.8116, 0.9084, 8.08, 1175.85
2, 0.5806, 0.6553, 7.94, 1177.40
3, 0.3468, 0.3385, 7.88, 1175.76
4, 0.2673, 0.3270, 7.90, 1177.69
5, 0.2260, 0.2763, 7.92, 1175.85
6, 0.2045, 0.2547, 7.93, 1177.40
7, 0.1910, 0.2305, 7.94, 1175.76
8, 0.1813, 0.2298, 7.90, 1177.69
9, 0.1775, 0.2262, 7.86, 1175.85
10, 0.1658, 0.2114, 7.92, 1177.40
11, 0.1593, 0.2050, 7.95, 1175.76
12, 0.1525, 0.1974, 7.93, 1177.69
13, 0.1438, 0.1938, 7.93, 1175.85
14, 0.1408, 0.1863, 7.91, 1177.40
15, 0.1365, 0.1836, 7.92, 1175.76
16, 0.1289, 0.1758, 7.96, 1177.69
17, 0.1272, 0.1812, 7.92, 1175.85
18, 0.1210, 0.1706, 7.93, 1177.40
19, 0.1180, 0.1701, 7.93, 1175.76
20, 0.1151, 0.1673, 7.92, 1177.69
21, 0.1093, 0.1666, 7.94, 1175.85
22, 0.1059, 0.1594, 7.94, 1177.40
23, 0.1032, 0.1562, 7.94, 1175.76
24, 0.0990, 0.1572, 7.95, 1177.69
25, 0.0946, 0.1539, 7.87, 1175.85
26, 0.0952, 0.1541, 7.93, 1177.40
27, 0.0931, 0.1572, 7.93, 1175.76
28, 0.0907, 0.1584, 7.94, 1177.69
29, 0.0879, 0.1479, 7.87, 1175.85
30, 0.0845, 0.1502, 7.89, 1177.40
31, 0.0809, 0.1523, 7.89, 1175.76
32, 0.0817, 0.1506, 7.87, 1177.69
33, 0.0796, 0.1500, 7.94, 1175.85
34, 0.0768, 0.1545, 7.87, 1177.40

Total Training Time: 553.00s
