Training Parameters:
Model Name: MultimodalSegmentationModel
Number of Training Images: 300
Batch Size: 3
Learning Rate: 1e-05
Total Epochs: 100
Patience: 5

Epoch Details:
Epoch, Loss, Validation Loss, Time (s), GPU Memory (MB)
1, 0.5295, 0.3103, 31.52, 1177.69
2, 0.3096, 0.2123, 32.32, 1177.69
3, 0.2393, 0.2298, 33.43, 1177.69
4, 0.2192, 0.1836, 33.81, 1177.69
5, 0.1995, 0.1690, 33.24, 1177.69
6, 0.1747, 0.1507, 33.14, 1177.69
7, 0.1593, 0.1384, 33.29, 1177.69
8, 0.1482, 0.1248, 33.25, 1177.69
9, 0.1406, 0.1355, 33.27, 1177.69
10, 0.1274, 0.1443, 33.43, 1177.69
11, 0.1195, 0.1051, 33.34, 1177.69
12, 0.1112, 0.0976, 33.25, 1177.69
13, 0.1012, 0.0924, 33.41, 1177.69
14, 0.0973, 0.0905, 33.52, 1177.69
15, 0.0894, 0.0916, 33.39, 1177.69
16, 0.0867, 0.0876, 33.25, 1177.69
17, 0.0834, 0.0788, 33.16, 1177.69
18, 0.0793, 0.0791, 33.54, 1177.69
19, 0.0733, 0.0800, 33.22, 1177.69
20, 0.0717, 0.0741, 33.39, 1177.69
21, 0.0715, 0.0694, 33.27, 1177.69
22, 0.0666, 0.0742, 33.41, 1177.69
23, 0.0625, 0.0646, 32.86, 1177.69
24, 0.0606, 0.0676, 32.02, 1177.69
25, 0.0579, 0.0632, 32.05, 1177.69
26, 0.0562, 0.0680, 32.10, 1177.69
27, 0.0559, 0.0672, 32.02, 1177.69
28, 0.0556, 0.0621, 32.03, 1177.69
29, 0.0522, 0.0649, 32.03, 1177.69
30, 0.0517, 0.0600, 32.02, 1177.69
31, 0.0505, 0.0634, 32.02, 1177.69
32, 0.0476, 0.0581, 32.04, 1177.69
33, 0.0471, 0.0607, 32.18, 1177.69
34, 0.0458, 0.0590, 32.03, 1177.69
35, 0.0452, 0.0577, 32.01, 1177.69
36, 0.0424, 0.0545, 31.98, 1177.69
37, 0.0420, 0.0549, 31.97, 1177.69
38, 0.0417, 0.0580, 32.00, 1177.69
39, 0.0414, 0.0621, 31.98, 1177.69
40, 0.0401, 0.0557, 31.96, 1177.69
41, 0.0396, 0.0554, 32.01, 1177.69

Total Training Time: 1450.12s
