Training Parameters:
Model Name: MultimodalSegmentationModel
Number of Training Images: 300
Batch Size: 3
Learning Rate: 1e-05
Total Epochs: 40
Patience: 5

Epoch Details:
Epoch, Loss, Validation Loss, Time (s), GPU Memory (MB)
1, 0.5718, 0.2698, 32.17, 1064.48
2, 0.2439, 0.2255, 31.77, 1064.48
3, 0.2059, 0.1862, 31.80, 1064.48
4, 0.1814, 0.1672, 32.10, 1064.48
5, 0.1606, 0.1519, 32.95, 1064.48
6, 0.1470, 0.1274, 32.21, 1064.48
7, 0.1321, 0.1141, 31.97, 1064.48
8, 0.1231, 0.1123, 31.25, 1064.48
9, 0.1219, 0.1062, 31.90, 1064.48
10, 0.1111, 0.1029, 32.20, 1064.48
11, 0.0997, 0.0924, 31.61, 1064.48
12, 0.0960, 0.0821, 31.59, 1064.48
13, 0.0896, 0.0843, 32.36, 1064.48
14, 0.0837, 0.0825, 32.52, 1064.48
15, 0.0790, 0.0777, 31.61, 1064.48
16, 0.0767, 0.0769, 31.13, 1064.48
17, 0.0773, 0.0758, 32.12, 1064.48
18, 0.0722, 0.0744, 31.45, 1064.48
19, 0.0686, 0.0704, 31.37, 1064.48
20, 0.0641, 0.0678, 31.24, 1064.48
21, 0.0624, 0.0685, 31.37, 1064.48
22, 0.0596, 0.0674, 31.27, 1064.48
23, 0.0601, 0.0635, 31.36, 1064.48
24, 0.0558, 0.0627, 31.29, 1064.48
25, 0.0542, 0.0606, 31.21, 1064.48
26, 0.0520, 0.0611, 31.34, 1064.48
27, 0.0508, 0.0631, 31.89, 1064.48
28, 0.0486, 0.0606, 31.67, 1064.48
29, 0.0475, 0.0576, 31.30, 1064.48
30, 0.0459, 0.0585, 31.35, 1064.48
31, 0.0445, 0.0570, 31.18, 1064.48
32, 0.0432, 0.0585, 31.37, 1064.48
33, 0.0423, 0.0590, 31.28, 1064.48
34, 0.0410, 0.0557, 31.40, 1064.48
35, 0.0403, 0.0552, 31.52, 1064.48
36, 0.0398, 0.0586, 31.46, 1064.48
37, 0.0380, 0.0546, 31.22, 1064.48
38, 0.0371, 0.0539, 31.17, 1064.48
39, 0.0379, 0.0544, 31.88, 1064.48
40, 0.0367, 0.0553, 31.86, 1064.48

Total Training Time: 1369.00s
