Training Parameters:
Model Name: MultimodalSegmentationModel
Number of Training Images: 300
Batch Size: 3
Learning Rate: 1e-05
Total Epochs: 100
Patience: 5

Epoch Details:
Epoch, Loss, Validation Loss, Time (s), GPU Memory (MB)
1, 0.4349, 0.2489, 32.11, 1177.69
2, 0.2000, 0.1540, 31.55, 1177.69
3, 0.1668, 0.1466, 31.70, 1177.69
4, 0.1436, 0.1308, 31.52, 1177.69
5, 0.1329, 0.1139, 31.57, 1177.69
6, 0.1175, 0.1032, 31.52, 1177.69
7, 0.1126, 0.0980, 31.52, 1177.69
8, 0.0995, 0.0955, 31.60, 1177.69
9, 0.0927, 0.0862, 31.55, 1177.69
10, 0.0853, 0.0879, 31.69, 1177.69
11, 0.0803, 0.0854, 31.43, 1177.69
12, 0.0797, 0.0816, 31.59, 1177.69
13, 0.0721, 0.0799, 31.82, 1177.69
14, 0.0690, 0.0751, 31.56, 1177.69
15, 0.0662, 0.0725, 31.61, 1177.69
16, 0.0663, 0.0797, 31.74, 1177.69
17, 0.0734, 0.0724, 31.59, 1177.69
18, 0.0604, 0.0686, 31.63, 1177.69
19, 0.0584, 0.0653, 31.60, 1177.69
20, 0.0561, 0.0661, 31.55, 1177.69
21, 0.0532, 0.0642, 31.59, 1177.69
22, 0.0515, 0.0648, 31.86, 1177.69
23, 0.0506, 0.0710, 31.87, 1177.69
24, 0.0480, 0.0650, 31.59, 1177.69
25, 0.0472, 0.0642, 31.65, 1177.69
26, 0.0453, 0.0635, 31.78, 1177.69
27, 0.0523, 0.0595, 31.77, 1177.69
28, 0.0453, 0.0609, 30.80, 1177.69
29, 0.0430, 0.0601, 30.89, 1177.69
30, 0.0427, 0.0598, 30.82, 1177.69
31, 0.0462, 0.0606, 31.16, 1177.69
32, 0.0405, 0.0633, 31.07, 1177.69

Total Training Time: 1092.35s
