Training Parameters:
Model Name: MultimodalSegmentationModel
Run Number: 7
Batch Size: 3
Learning Rate: 1e-05
Total Epochs: 100
Patience: 5

Epoch Details:
Epoch, Loss, Validation Loss, Time (s), GPU Memory (MB)
1, 0.6198, 0.5598, 7.80, 1178.32
2, 0.4819, 0.5540, 7.80, 1178.81
3, 0.2986, 0.3712, 7.80, 1177.82
4, 0.2196, 0.2544, 7.79, 1179.32
5, 0.1925, 0.2376, 7.80, 1178.32
6, 0.1702, 0.2101, 7.80, 1178.81
7, 0.1543, 0.2285, 7.80, 1177.82
8, 0.1495, 0.2014, 7.79, 1179.32
9, 0.1439, 0.1976, 7.80, 1178.32
10, 0.1326, 0.1938, 7.80, 1178.81
11, 0.1285, 0.1876, 7.82, 1177.82
12, 0.1242, 0.1794, 7.79, 1179.32
13, 0.1184, 0.1768, 7.85, 1178.32
14, 0.1124, 0.1756, 7.85, 1178.81
15, 0.1061, 0.1732, 7.84, 1177.82
16, 0.1035, 0.1756, 7.79, 1179.32
17, 0.0996, 0.1706, 7.79, 1178.32
18, 0.0968, 0.1707, 7.79, 1178.81
19, 0.0923, 0.1635, 7.79, 1177.82
20, 0.0879, 0.1622, 7.80, 1179.32
21, 0.0875, 0.1610, 7.84, 1178.32
22, 0.0837, 0.1585, 7.79, 1178.81
23, 0.0832, 0.1556, 7.79, 1177.82
24, 0.0802, 0.1525, 7.79, 1179.32
25, 0.0801, 0.1547, 7.85, 1178.32
26, 0.0813, 0.1535, 7.79, 1178.81
27, 0.0765, 0.1469, 7.80, 1177.82
28, 0.0733, 0.1511, 7.83, 1179.32
29, 0.0700, 0.1516, 7.84, 1178.32
30, 0.0684, 0.1517, 7.85, 1178.81
31, 0.0675, 0.1503, 7.80, 1177.82
32, 0.0646, 0.1588, 7.79, 1179.32

Total Training Time: 507.97s
