Training Parameters:
Model Name: MultimodalSegmentationModel
Run Number: 4
Batch Size: 3
Learning Rate: 1e-05
Total Epochs: 100
Patience: 5

Epoch Details:
Epoch, Loss, Validation Loss, Time (s), GPU Memory (MB)
1, 0.4636, 0.4180, 15.73, 1178.33
2, 0.3262, 0.3257, 15.73, 1178.56
3, 0.2296, 0.1986, 15.77, 1178.33
4, 0.1727, 0.1980, 15.78, 1178.09
5, 0.1432, 0.1800, 15.75, 1178.44
6, 0.1366, 0.1624, 15.77, 1179.23
7, 0.1218, 0.1546, 15.66, 1178.33
8, 0.1236, 0.1337, 15.66, 1178.44
9, 0.1179, 0.1674, 15.66, 1178.09
10, 0.1039, 0.1451, 15.68, 1178.33
11, 0.0998, 0.1331, 15.68, 1178.56
12, 0.0932, 0.1241, 15.83, 1178.33
13, 0.0916, 0.1258, 15.69, 1178.09
14, 0.0896, 0.1193, 15.85, 1178.44
15, 0.0827, 0.1163, 15.45, 1179.23
16, 0.0829, 0.1192, 15.32, 1178.33
17, 0.0778, 0.1107, 15.34, 1178.44
18, 0.0725, 0.1146, 15.31, 1178.09
19, 0.0708, 0.1099, 15.27, 1178.33
20, 0.0666, 0.1059, 15.26, 1178.56
21, 0.0650, 0.1113, 15.43, 1178.33
22, 0.0638, 0.1100, 15.26, 1178.09
23, 0.0609, 0.1029, 15.27, 1178.44
24, 0.0596, 0.1038, 15.34, 1179.23
25, 0.0565, 0.1033, 15.30, 1178.33
26, 0.0559, 0.1021, 15.38, 1178.44
27, 0.0530, 0.1016, 15.27, 1178.09
28, 0.0518, 0.1006, 15.27, 1178.33
29, 0.0520, 0.0962, 15.29, 1178.56
30, 0.0504, 0.0971, 15.31, 1178.33
31, 0.0482, 0.0943, 15.34, 1178.09
32, 0.0454, 0.0950, 15.26, 1178.44
33, 0.0463, 0.0957, 15.36, 1179.23
34, 0.0476, 0.0929, 15.33, 1178.33
35, 0.0438, 0.0957, 15.26, 1178.44
36, 0.0423, 0.0964, 15.29, 1178.09
37, 0.0423, 0.0970, 15.33, 1178.33
38, 0.0414, 0.0961, 15.29, 1178.56
39, 0.0399, 0.0942, 15.29, 1178.33

Total Training Time: 816.42s
