Training Parameters:
Model Name: MultimodalSegmentationModel
Number of Training Images: 300
Batch Size: 3
Learning Rate: 1e-05
Total Epochs: 100
Patience: 5

Epoch Details:
Epoch, Loss, Validation Loss, Time (s), GPU Memory (MB)
1, 0.5593, 0.2917, 31.52, 1177.69
2, 0.2466, 0.2178, 31.65, 1177.69
3, 0.2069, 0.1793, 31.72, 1177.69
4, 0.1823, 0.1632, 31.86, 1177.69
5, 0.1615, 0.1463, 31.58, 1177.69
6, 0.1500, 0.1483, 31.61, 1177.69
7, 0.1314, 0.1213, 31.57, 1177.69
8, 0.1205, 0.1138, 31.56, 1177.69
9, 0.1146, 0.1106, 31.56, 1177.69
10, 0.1089, 0.0959, 31.62, 1177.69
11, 0.1000, 0.0960, 31.56, 1177.69
12, 0.0921, 0.0916, 31.81, 1177.69
13, 0.0878, 0.0842, 31.84, 1177.69
14, 0.0823, 0.0848, 31.54, 1177.69
15, 0.0813, 0.0801, 31.61, 1177.69
16, 0.0742, 0.0795, 31.62, 1177.69
17, 0.0726, 0.0824, 31.59, 1177.69
18, 0.0699, 0.0747, 31.78, 1177.69
19, 0.0678, 0.0723, 31.57, 1177.69
20, 0.0635, 0.0699, 31.74, 1177.69
21, 0.0636, 0.0708, 31.54, 1177.69
22, 0.0600, 0.0703, 31.55, 1177.69
23, 0.0579, 0.0721, 31.59, 1177.69
24, 0.0547, 0.0675, 31.55, 1177.69
25, 0.0538, 0.0681, 32.67, 1177.69
26, 0.0520, 0.0707, 32.30, 1177.69
27, 0.0507, 0.0657, 31.55, 1177.69
28, 0.0504, 0.0649, 31.72, 1177.69
29, 0.0486, 0.0618, 31.80, 1177.69
30, 0.0476, 0.0600, 31.82, 1177.69
31, 0.0451, 0.0608, 31.86, 1177.69
32, 0.0454, 0.0631, 31.65, 1177.69
33, 0.0449, 0.0598, 31.68, 1177.69
34, 0.0438, 0.0589, 31.69, 1177.69
35, 0.0424, 0.0577, 31.68, 1177.69
36, 0.0411, 0.0555, 31.68, 1177.69
37, 0.0401, 0.0563, 31.77, 1177.69
38, 0.0407, 0.0579, 31.66, 1177.69
39, 0.0392, 0.0544, 31.68, 1177.69
40, 0.0385, 0.0566, 31.65, 1177.69
41, 0.0374, 0.0565, 31.68, 1177.69
42, 0.0365, 0.0565, 31.66, 1177.69
43, 0.0359, 0.0551, 31.65, 1177.69
44, 0.0378, 0.0564, 31.65, 1177.69

Total Training Time: 1509.15s
