Training Parameters:
Model Name: MultimodalSegmentationModel
Run Number: 8
Batch Size: 3
Learning Rate: 1e-05
Total Epochs: 100
Patience: 5

Epoch Details:
Epoch, Loss, Validation Loss, Time (s), GPU Memory (MB)
1, 0.4196, 0.3814, 15.82, 1179.19
2, 0.3103, 0.3151, 15.71, 1178.18
3, 0.2412, 0.2855, 15.69, 1178.58
4, 0.2015, 0.2055, 15.75, 1179.19
5, 0.1665, 0.1760, 15.95, 1178.18
6, 0.1572, 0.1808, 15.30, 1178.58
7, 0.1456, 0.1749, 15.34, 1179.19
8, 0.1327, 0.1464, 15.36, 1178.18
9, 0.1211, 0.1528, 15.31, 1178.58
10, 0.1140, 0.1525, 15.34, 1179.19
11, 0.1102, 0.1430, 15.32, 1178.18
12, 0.1088, 0.1492, 15.32, 1178.58
13, 0.1063, 0.1354, 15.30, 1179.19
14, 0.1000, 0.1238, 15.41, 1178.18
15, 0.1007, 0.1219, 15.31, 1178.58
16, 0.0897, 0.1252, 15.48, 1179.19
17, 0.0849, 0.1191, 15.32, 1178.18
18, 0.0770, 0.1179, 15.38, 1178.58
19, 0.0827, 0.1224, 15.34, 1179.19
20, 0.0741, 0.1153, 15.34, 1178.18
21, 0.0705, 0.1121, 15.36, 1178.58
22, 0.0700, 0.1087, 15.50, 1179.19
23, 0.0731, 0.1139, 15.35, 1178.18
24, 0.0648, 0.1115, 15.34, 1178.58
25, 0.0627, 0.1090, 15.32, 1179.19
26, 0.0592, 0.1048, 15.44, 1178.18
27, 0.0590, 0.1026, 15.38, 1178.58
28, 0.0563, 0.1036, 15.38, 1179.19
29, 0.0533, 0.1030, 15.33, 1178.18
30, 0.0533, 0.0992, 15.32, 1178.58
31, 0.0519, 0.0978, 15.97, 1179.19
32, 0.0490, 0.0950, 15.85, 1178.18
33, 0.0517, 0.0974, 15.71, 1178.58
34, 0.0493, 0.1043, 15.59, 1179.19
35, 0.0496, 0.0969, 15.36, 1178.18
36, 0.0486, 0.0981, 15.34, 1178.58
37, 0.0440, 0.0971, 15.32, 1179.19

Total Training Time: 774.51s
